Data,RPI,W875RX1,DPCERA3M086SBEA,CMRMTSPLx,RETAILx,INDPRO,IPFPNSS,IPFINAL,IPCONGD,IPDCONGD,IPNCONGD,IPBUSEQ,IPMAT,IPDMAT,IPNMAT,IPMANSICS,IPB51222S,IPFUELS,CUMFNS,HWI,HWIURATIO,CLF16OV,CE16OV,UNRATE,UEMPMEAN,UEMPLT5,UEMP5TO14,UEMP15OV,UEMP15T26,UEMP27OV,CLAIMSx,PAYEMS,USGOOD,CES1021000001,USCONS,MANEMP,DMANEMP,NDMANEMP,SRVPRD,USTPU,USWTRADE,USTRADE,USFIRE,USGOVT,CES0600000007,AWOTMAN,AWHMAN,HOUST,HOUSTNE,HOUSTMW,HOUSTS,HOUSTW,PERMIT,PERMITNE,PERMITMW,PERMITS,PERMITW,AMDMNOx,ANDENOx,AMDMUOx,BUSINVx,ISRATIOx,M1SL,M2SL,M2REAL,BOGMBASE,TOTRESNS,NONBORRES,BUSLOANS,REALLN,NONREVSL,CONSPI,S&P 500,S&P: indust,S&P div yield,S&P PE ratio,FEDFUNDS,CP3Mx,TB3MS,TB6MS,GS1,GS5,GS10,AAA,BAA,COMPAPFFx,TB3SMFFM,TB6SMFFM,T1YFFM,T5YFFM,T10YFFM,AAAFFM,BAAFFM,TWEXAFEGSMTHx,EXSZUSx,EXJPUSx,EXUSUKx,EXCAUSx,WPSFD49207,WPSFD49502,WPSID61,WPSID62,OILPRICEx,PPICMM,CPIAUCSL,CPIAPPSL,CPITRNSL,CPIMEDSL,CUSR0000SAC,CUSR0000SAD,CUSR0000SAS,CPIULFSL,CUSR0000SA0L2,CUSR0000SA0L5,PCEPI,DDURRG3M086SBEA,DNDGRG3M086SBEA,DSERRG3M086SBEA,CES0600000008,CES2000000008,CES3000000008,UMCSENTx,DTCOLNVHFNM,DTCTHFNM,INVEST,VIXCLSx
1978-01-31,5333.703,4721.8,36.479,549039.188,63558.14895,47.7604,50.9901,49.1168,65.9398,47.6917,73.9362,23.5651,43.6983,26.0547,82.0543,46.3903,58.256,63.0174,82.13,4256,0.65587918,100873,94384,6.4,12.9,2824,1989,1643,830,813,351000,84594,23374,668.3,4029,18593,11481,7112,61220,17198,4130.2,9644.5,4476,15611,38.7,3.4,39.5,1718,124,392,704,498,1740,193,351,649,547,58959.04436,17339.03343,186041.6027,345831.9192,1.549668874,334.4,1279.7,2041,130200,38.1,37700,207.2931,177.7143,225.84072,0.128311301,90.25,99.34,5.222526316,8.382062783,6.7,6.75,6.44,6.7,7.28,7.77,7.96,8.41,9.17,0.05,-0.26,0,0.58,1.07,1.26,1.71,2.47,119.6873624,1.9863,241.081,1.9353,1.1012,67,66.4,66.9,67.3,14.85,79.3,62.7,80.1,60.1,59.3,66.1,65.8,58.3,61.6,64.9,62.8,33,87.856,35.998,25.734,6.19,7.77,5.83,83.7,13395,37341,232.6858,15.9983
1978-02-28,5357.672,4746.7,37.011,561630.607,65058.86924,48.0271,51.6233,49.9119,67.0462,48.9238,74.8798,24.1629,43.6233,26.0781,82.7298,46.585,61.2611,61.6833,82.2327,4289,0.678854068,100837,94519,6.3,12.5,2764,1942,1584,917,667,383250,84948,23453,672.2,4058,18639,11518,7121,61495,17264,4152.3,9673.8,4506,15671,39.4,3.6,39.9,1738,90,437,688,523,1736,167,406,620,543,61303.78725,18690.91397,188543.4079,348218.6465,1.518675497,335.3,1285.5,2040.5,128700,36.8,36400,210.259,180.32,228.84381,0.128838988,88.98,97.95,5.345774331,8.195581237,6.78,6.76,6.45,6.74,7.34,7.83,8.03,8.47,9.2,-0.02,-0.33,-0.04,0.56,1.05,1.25,1.69,2.42,119.4887835,1.9095,240.3722,1.9396,1.113,67.5,66.9,67.4,68.4,14.85,79.6,63,79.5,60.2,59.9,66.4,66.3,58.7,61.8,65.3,63.1,33.153,88.079,36.071,25.909,6.23,7.82,5.86,84.3,13481,37346,233.8456,15.6033
1978-03-31,5388.099,4776.2,37.38,567270.091,66663.30206,48.9459,52.8388,51.1989,68.3921,50.4148,76.0326,24.8696,44.2499,26.5331,82.863,47.4109,63.5978,63.6842,83.4436,4422,0.697806533,101092,94755,6.3,12.4,2871,1966,1531,817,714,349000,85460,23649,686.3,4178,18699,11556,7143,61811,17351,4172.7,9716.6,4527,15731,40,3.6,40.5,2032,168,426,876,562,1799,174,408,647,570,64399.07359,18401.89124,193242.7577,352787.5246,1.518675497,337,1292.2,2038.2,129100,36.1,35800,213.6058,183.0011,232.78364,0.129475299,88.82,97.65,5.404188246,8.101264832,6.79,6.75,6.29,6.63,7.31,7.86,8.04,8.47,9.22,-0.04,-0.5,-0.16,0.52,1.07,1.25,1.68,2.43,118.4125756,1.8985,231.8574,1.9055,1.1258,67.8,67.3,67.8,69.8,14.85,78.8,63.4,79.9,60.3,60.2,66.8,67,59.1,62.2,65.7,63.6,33.368,88.544,36.352,26.066,6.28,7.9,5.88,78.8,13663,37600,236.1659,14.9447
1978-04-30,5418.932,4814.5,37.606,584456.362,68327.88814,49.9198,53.4465,51.7571,68.8356,51.4119,76.0637,25.4088,45.5353,27.0134,83.9657,48.1315,59.2792,63.7056,84.4617,4688,0.758576052,101574,95394,6.1,12.3,2750,1888,1502,822,680,326000,86162,24008,841.1,4308,18772,11624,7148,62154,17452,4197.1,9769.8,4547,15797,40.1,3.5,40.4,2197,250,477,903,567,1948,204,415,771,558,66671.39563,19507.86937,196991.1735,357629.1714,1.467019868,339.9,1300.4,2035.1,131200,37,36400,216.9979,185.8235,235.79394,0.129421999,92.71,102.1,5.216988459,8.378486902,6.89,6.82,6.29,6.73,7.45,7.98,8.15,8.56,9.32,-0.07,-0.6,-0.16,0.56,1.09,1.26,1.67,2.43,117.9296193,1.9052,221.857,1.8497,1.1417,68.6,68.2,68.1,72.1,14.85,79.4,63.9,80.7,60.4,60.7,67.4,67.4,59.6,62.6,66.2,64.1,33.621,88.984,36.689,26.256,6.35,7.94,5.93,81.6,13973,38156,238.8215,20.2351
1978-05-31,5425.194,4816.3,37.755,583900.411,68766.59214,50.1602,53.4566,51.6996,68.4564,50.6377,75.9843,25.5653,45.9799,27.2543,83.8948,48.3596,59.9383,66.4653,84.609,4650,0.758935858,101896,95769,6,12.1,2870,1827,1420,728,692,327000,86509,24082,846.8,4302,18848,11691,7157,62427,17541,4220.8,9830.1,4566,15834,39.9,3.5,40.4,2075,196,463,876,540,1766,184,387,644,551,67402.18793,20173.32092,201732.4903,360999.8149,1.477350993,344.9,1310.5,2031.8,132300,37.1,35900,220.4005,188.9707,239.90541,0.130596304,97.41,107.7,5.002905246,8.710366178,7.36,7.06,6.41,7.02,7.82,8.18,8.35,8.69,9.49,-0.3,-0.95,-0.34,0.46,0.82,0.99,1.33,2.13,119.0318626,1.9652,226.1786,1.8181,1.1186,69.1,68.6,68.7,72.8,14.85,79.6,64.5,81.3,60.7,61.1,68,68,60,63,66.7,64.6,33.861,89.499,37.023,26.424,6.39,8.03,5.96,82.9,14383,38954,236.7878,17.5887
1978-06-30,5444.997,4844.4,37.879,587137.116,69956.17484,50.4826,53.9098,52.1547,68.8177,50.8983,76.3909,25.971,46.1762,27.4201,84.0891,48.7053,59.383,64.3383,84.9571,4654,0.772063703,102371,96343,5.9,12.1,2788,1946,1352,712,640,324250,86950,24238,854.9,4379,18919,11739,7180,62712,17648,4243,9889.6,4592,15852,40.2,3.6,40.6,2070,205,475,845,545,1983,192,384,648,759,68402.91254,19932.08017,205969.2494,364760.1282,1.477350993,346.9,1318.5,2028.5,133600,37.3,36200,223.4759,192.106,244.55378,0.13177809,97.66,108,5.027646938,8.632395935,7.6,7.59,6.73,7.23,8.09,8.36,8.46,8.76,9.6,-0.01,-0.87,-0.37,0.49,0.76,0.86,1.16,2,116.8451274,1.8854,214.1064,1.8372,1.1218,69.7,69.3,69.2,74.6,14.85,81.2,65,81.6,61.1,61.5,68.6,68.5,60.5,63.5,67.3,65.2,34.082,90.03,37.312,26.58,6.45,8.08,6.01,80,14860,39858,237.7968,17.4095
1978-07-31,5474.817,4855.1,37.699,582299.828,69505.02534,50.4464,53.85,52.107,68.4585,50.9541,75.7711,26.1698,46.1623,27.5759,83.3621,48.6605,59.338,64.567,84.6223,4655,0.737834839,102399,96090,6.2,12,3069,1867,1373,715,658,350200,87204,24300,861.5,4403,18951,11789,7162,62904,17672,4257.7,9930.5,4615,15901,40.2,3.5,40.6,2092,215,478,835,564,1786,218,399,656,513,67201.85491,20133.69683,209735.7873,368218.4474,1.498013245,347.6,1324.1,2021.5,135700,38.2,36900,226.2258,195.0134,247.27046,0.131793231,97.19,107.4,5.089690297,8.523117065,7.81,7.85,7.01,7.44,8.39,8.54,8.64,8.88,9.6,0.04,-0.8,-0.37,0.58,0.73,0.83,1.07,1.79,113.8247866,1.804,199.6955,1.8949,1.1246,70.3,69.9,69.4,74.2,14.85,80.7,65.5,81.5,61.6,61.9,69.1,68.8,61,64,67.6,65.7,34.269,90.45,37.479,26.748,6.5,8.12,6.06,82.4,15296,40533,236.1029,16.2257
1978-08-31,5499.675,4877.3,38.039,589894.028,70422.88122,50.6531,54.1001,52.4123,68.3509,50.7049,75.7702,26.6564,46.3248,27.8517,82.8978,48.9056,58.6193,66.7291,84.7903,4731,0.778125,102511,96431,5.9,11.4,2858,1967,1242,630,612,348750,87483,24374,863.8,4420,19006,11839,7167,63109,17738,4281.9,9954.8,4633,15891,40.1,3.5,40.5,1996,198,420,814,564,1691,202,388,635,466,69536.25196,21388.848,214295.883,372202.8208,1.487682119,349.6,1333.5,2023.5,135200,37.6,36400,228.3623,198.3252,250.33125,0.132156715,103.9,115,4.796275265,9.06905703,8.04,7.83,7.08,7.37,8.31,8.33,8.41,8.69,9.48,-0.21,-0.96,-0.67,0.27,0.29,0.37,0.65,1.44,111.2862188,1.6672,188.7096,1.9406,1.1404,70.4,69.9,69.9,73.7,14.85,84.5,65.9,81.7,62,62.4,69.4,69.2,61.5,64.4,68,66.1,34.442,90.975,37.6,26.906,6.54,8.18,6.09,78.4,15693,41405,236.2009,17.2668
1978-09-30,5506.854,4890.2,37.978,588547.304,70750.61281,50.7724,54.2876,52.6273,68.4631,50.423,76.1467,26.9312,46.3799,28.0429,83.4168,49.1153,60.4115,67.1941,84.8932,4797,0.783183674,102795,96670,6,11.4,2941,1884,1308,684,624,322600,87621,24444,868.2,4424,19068,11901,7167,63177,17795,4296.1,9983,4650,15819,40,3.7,40.5,1970,237,401,820,512,1751,203,391,654,503,71244.25561,22441.21708,219879.4011,376070.2932,1.487682119,352.2,1345,2022.6,136200,37.8,36700,230.5011,201.099,252.66905,0.132460839,103.9,115.1,4.831568816,9.000149534,8.45,8.39,7.85,7.99,8.64,8.43,8.42,8.69,9.42,-0.06,-0.6,-0.46,0.19,-0.02,-0.03,0.24,0.97,111.5315431,1.5697,189.9195,1.9595,1.1664,71.1,70.6,70.5,75.1,14.85,84.6,66.5,81.9,62.6,62.8,70,69.7,62.1,65,68.4,66.6,34.638,91.438,37.771,27.083,6.59,8.24,6.15,80.4,15982,41952,238.6604,17.7761
1978-10-31,5527.13,4911.6,38.042,593798.383,72009.68291,51.1649,54.6058,52.8954,68.357,50.5655,75.8803,27.4731,46.8295,28.3617,83.6977,49.4619,60.3689,68.1389,85.2284,4952,0.832688751,103080,97133,5.8,11.7,2786,1833,1319,723,596,328250,87956,24548,875.1,4447,19142,11966,7176,63408,17894,4322.5,10024.1,4665,15858,40.1,3.7,40.5,1981,198,424,847,512,1781,183,383,683,532,73873.97928,24695.12826,227136.8301,380902.1983,1.487682119,353.3,1352.3,2015.4,137600,38.4,37100,232.9249,204.5151,254.36742,0.13181708,100.6,111.6,5.006630219,8.638216146,8.96,8.98,7.99,8.55,9.14,8.61,8.64,8.89,9.59,0.02,-0.97,-0.41,0.18,-0.35,-0.32,-0.07,0.63,108.9039815,1.5365,183.631,2.0075,1.1828,71.4,71,71.3,77,14.85,87.9,67.1,82.4,63.3,63.3,70.6,70.2,62.6,65.6,68.9,67.2,34.913,92.04,38.047,27.319,6.65,8.26,6.2,79.3,16187,42489,238.2521,21.0197
