DATA,1 m,2 m,3 m,4 m,5 m,6 m,7 m,8 m,9 m,10 m,11 m,12 m,13 m,14 m,15 m,16 m,17 m,18 m,19 m,20 m,21 m,22 m,23 m,24 m,25 m,26 m,27 m,28 m,29 m,30 m,31 m,32 m,33 m,34 m,35 m,36 m,37 m,38 m,39 m,40 m,41 m,42 m,43 m,44 m,45 m,46 m,47 m,48 m,49 m,50 m,51 m,52 m,53 m,54 m,55 m,56 m,57 m,58 m,59 m,60 m,61 m,62 m,63 m,64 m,65 m,66 m,67 m,68 m,69 m,70 m,71 m,72 m,73 m,74 m,75 m,76 m,77 m,78 m,79 m,80 m,81 m,82 m,83 m,84 m,85 m,86 m,87 m,88 m,89 m,90 m,91 m,92 m,93 m,94 m,95 m,96 m,97 m,98 m,99 m,100 m,101 m,102 m,103 m,104 m,105 m,106 m,107 m,108 m,109 m,110 m,111 m,112 m,113 m,114 m,115 m,116 m,117 m,118 m,119 m,120 m
1978-01-31,6.293,6.42,6.537,6.64,6.729,6.803,6.865,6.916,6.959,6.996,7.027,7.054,7.078,7.102,7.124,7.146,7.168,7.189,7.209,7.228,7.246,7.261,7.273,7.283,7.292,7.302,7.313,7.325,7.339,7.353,7.367,7.38,7.392,7.402,7.412,7.422,7.431,7.44,7.449,7.457,7.466,7.475,7.484,7.495,7.506,7.516,7.527,7.536,7.545,7.552,7.558,7.562,7.566,7.57,7.573,7.576,7.58,7.583,7.586,7.589,7.592,7.596,7.599,7.602,7.605,7.609,7.612,7.615,7.619,7.622,7.626,7.629,7.633,7.636,7.64,7.643,7.647,7.651,7.654,7.658,7.661,7.665,7.668,7.672,7.675,7.679,7.682,7.686,7.689,7.693,7.696,7.7,7.703,7.706,7.71,7.713,7.717,7.72,7.724,7.727,7.73,7.734,7.737,7.741,7.744,7.748,7.751,7.754,7.758,7.761,7.765,7.769,7.772,7.776,7.78,7.783,7.787,7.791,7.795,7.799
1978-02-28,6.298,6.422,6.538,6.644,6.737,6.816,6.883,6.94,6.988,7.03,7.065,7.096,7.125,7.152,7.178,7.204,7.228,7.253,7.277,7.3,7.322,7.342,7.361,7.378,7.393,7.409,7.424,7.44,7.456,7.471,7.487,7.501,7.515,7.528,7.539,7.548,7.556,7.562,7.567,7.573,7.58,7.588,7.598,7.609,7.621,7.632,7.643,7.652,7.659,7.665,7.67,7.675,7.681,7.688,7.695,7.702,7.708,7.712,7.715,7.717,7.718,7.719,7.72,7.72,7.721,7.722,7.723,7.725,7.726,7.728,7.731,7.734,7.738,7.742,7.746,7.751,7.755,7.76,7.765,7.771,7.775,7.78,7.785,7.789,7.793,7.797,7.801,7.805,7.808,7.811,7.814,7.818,7.821,7.824,7.827,7.83,7.832,7.835,7.838,7.841,7.843,7.846,7.849,7.851,7.854,7.857,7.859,7.862,7.864,7.867,7.869,7.872,7.875,7.877,7.88,7.883,7.886,7.888,7.891,7.894
1978-03-31,6.45,6.541,6.632,6.721,6.806,6.884,6.956,7.019,7.076,7.125,7.169,7.208,7.243,7.276,7.308,7.338,7.368,7.395,7.421,7.445,7.466,7.484,7.498,7.508,7.517,7.525,7.532,7.54,7.55,7.563,7.577,7.592,7.607,7.62,7.632,7.641,7.648,7.655,7.661,7.667,7.674,7.682,7.691,7.7,7.709,7.717,7.724,7.73,7.736,7.742,7.748,7.754,7.762,7.769,7.776,7.783,7.788,7.792,7.795,7.798,7.8,7.801,7.803,7.804,7.806,7.807,7.809,7.811,7.813,7.816,7.819,7.822,7.826,7.83,7.835,7.84,7.845,7.85,7.855,7.86,7.865,7.869,7.874,7.878,7.882,7.885,7.889,7.892,7.895,7.899,7.902,7.905,7.908,7.91,7.913,7.916,7.919,7.921,7.924,7.927,7.929,7.931,7.934,7.936,7.938,7.941,7.943,7.945,7.947,7.949,7.951,7.953,7.955,7.957,7.959,7.961,7.963,7.965,7.967,7.969
1978-04-30,6.163,6.323,6.485,6.641,6.785,6.91,7.016,7.105,7.178,7.241,7.296,7.345,7.389,7.43,7.468,7.504,7.536,7.565,7.59,7.612,7.63,7.645,7.657,7.666,7.673,7.68,7.685,7.692,7.699,7.707,7.717,7.728,7.738,7.749,7.758,7.767,7.775,7.782,7.79,7.797,7.803,7.809,7.814,7.819,7.823,7.826,7.828,7.829,7.83,7.831,7.833,7.834,7.836,7.838,7.84,7.843,7.846,7.849,7.853,7.857,7.861,7.865,7.869,7.873,7.877,7.881,7.884,7.888,7.892,7.895,7.899,7.903,7.908,7.912,7.917,7.921,7.926,7.931,7.935,7.94,7.944,7.949,7.953,7.957,7.96,7.964,7.968,7.971,7.975,7.978,7.981,7.984,7.988,7.991,7.994,7.997,8,8.003,8.005,8.008,8.011,8.014,8.016,8.019,8.021,8.023,8.026,8.028,8.03,8.033,8.035,8.037,8.039,8.041,8.043,8.046,8.048,8.05,8.052,8.054
1978-05-31,6.612,6.752,6.897,7.041,7.177,7.299,7.403,7.489,7.56,7.62,7.671,7.716,7.756,7.791,7.822,7.848,7.869,7.886,7.899,7.908,7.915,7.921,7.927,7.933,7.939,7.944,7.95,7.955,7.959,7.963,7.967,7.971,7.975,7.979,7.984,7.99,7.995,8.002,8.009,8.015,8.021,8.025,8.028,8.029,8.03,8.031,8.034,8.036,8.04,8.045,8.05,8.056,8.062,8.068,8.073,8.079,8.084,8.088,8.092,8.095,8.097,8.099,8.101,8.103,8.105,8.106,8.108,8.109,8.111,8.113,8.114,8.116,8.118,8.12,8.122,8.125,8.127,8.13,8.133,8.137,8.14,8.144,8.147,8.151,8.155,8.159,8.163,8.167,8.171,8.176,8.18,8.184,8.188,8.192,8.195,8.199,8.203,8.206,8.209,8.212,8.215,8.218,8.22,8.223,8.225,8.227,8.229,8.231,8.233,8.235,8.236,8.238,8.24,8.241,8.243,8.244,8.245,8.247,8.248,8.249
1978-06-30,6.584,6.857,7.104,7.319,7.499,7.643,7.755,7.846,7.921,7.986,8.043,8.091,8.133,8.168,8.197,8.22,8.236,8.247,8.252,8.256,8.257,8.26,8.263,8.268,8.275,8.283,8.292,8.299,8.306,8.311,8.315,8.316,8.315,8.313,8.31,8.307,8.305,8.305,8.307,8.31,8.312,8.313,8.312,8.31,8.307,8.304,8.302,8.3,8.3,8.301,8.302,8.304,8.306,8.308,8.309,8.309,8.309,8.308,8.307,8.306,8.305,8.304,8.303,8.302,8.301,8.301,8.3,8.301,8.301,8.302,8.303,8.304,8.306,8.308,8.31,8.312,8.315,8.317,8.32,8.324,8.327,8.331,8.335,8.339,8.343,8.347,8.351,8.356,8.36,8.364,8.368,8.372,8.376,8.38,8.384,8.387,8.391,8.394,8.397,8.4,8.402,8.404,8.406,8.408,8.41,8.411,8.413,8.414,8.415,8.416,8.417,8.418,8.419,8.42,8.421,8.422,8.423,8.424,8.424,8.425
1978-07-31,6.692,6.883,7.068,7.245,7.406,7.548,7.671,7.777,7.868,7.947,8.014,8.068,8.112,8.145,8.169,8.186,8.196,8.202,8.205,8.207,8.209,8.21,8.213,8.216,8.221,8.226,8.233,8.24,8.247,8.253,8.257,8.258,8.257,8.254,8.251,8.247,8.243,8.239,8.234,8.228,8.221,8.215,8.21,8.206,8.205,8.205,8.207,8.21,8.215,8.221,8.226,8.232,8.236,8.24,8.243,8.245,8.246,8.247,8.248,8.248,8.249,8.249,8.25,8.25,8.251,8.252,8.253,8.255,8.256,8.258,8.26,8.262,8.264,8.266,8.269,8.271,8.273,8.276,8.278,8.281,8.283,8.286,8.288,8.291,8.293,8.296,8.298,8.301,8.303,8.306,8.308,8.311,8.313,8.315,8.317,8.319,8.321,8.323,8.325,8.326,8.328,8.329,8.331,8.332,8.333,8.334,8.335,8.335,8.336,8.337,8.338,8.338,8.339,8.34,8.34,8.341,8.341,8.342,8.343,8.343
1978-08-31,7.712,7.739,7.774,7.815,7.863,7.914,7.966,8.016,8.062,8.104,8.139,8.168,8.191,8.207,8.218,8.225,8.229,8.231,8.231,8.229,8.227,8.224,8.22,8.213,8.205,8.195,8.185,8.177,8.172,8.169,8.168,8.168,8.168,8.169,8.17,8.171,8.172,8.171,8.169,8.164,8.16,8.156,8.154,8.155,8.16,8.166,8.174,8.182,8.19,8.197,8.203,8.207,8.209,8.21,8.21,8.209,8.208,8.206,8.204,8.202,8.2,8.199,8.197,8.196,8.195,8.194,8.194,8.193,8.193,8.192,8.192,8.192,8.191,8.191,8.191,8.191,8.191,8.191,8.192,8.192,8.193,8.193,8.194,8.195,8.196,8.197,8.197,8.198,8.199,8.199,8.2,8.2,8.2,8.2,8.2,8.2,8.199,8.199,8.198,8.197,8.196,8.195,8.194,8.193,8.192,8.19,8.189,8.188,8.187,8.185,8.184,8.183,8.182,8.181,8.179,8.178,8.177,8.176,8.176,8.175
1978-09-30,8.105,8.21,8.306,8.388,8.453,8.5,8.532,8.554,8.567,8.574,8.577,8.575,8.571,8.564,8.555,8.544,8.531,8.516,8.499,8.483,8.468,8.454,8.443,8.431,8.417,8.401,8.383,8.362,8.341,8.321,8.303,8.289,8.278,8.271,8.267,8.265,8.261,8.254,8.245,8.234,8.224,8.217,8.214,8.217,8.225,8.234,8.243,8.251,8.258,8.263,8.266,8.267,8.268,8.268,8.268,8.268,8.269,8.27,8.272,8.274,8.276,8.278,8.28,8.282,8.284,8.286,8.287,8.289,8.29,8.291,8.292,8.293,8.293,8.294,8.295,8.296,8.297,8.298,8.3,8.302,8.304,8.306,8.308,8.31,8.313,8.315,8.318,8.32,8.323,8.325,8.327,8.329,8.331,8.332,8.334,8.335,8.335,8.336,8.337,8.337,8.337,8.337,8.337,8.337,8.337,8.336,8.336,8.336,8.335,8.335,8.335,8.334,8.334,8.334,8.334,8.334,8.334,8.334,8.334,8.334
1978-10-31,8.58,8.728,8.87,9,9.115,9.213,9.291,9.353,9.398,9.428,9.442,9.44,9.423,9.394,9.358,9.318,9.277,9.236,9.199,9.17,9.152,9.145,9.146,9.148,9.148,9.142,9.13,9.111,9.085,9.057,9.028,9.005,8.991,8.987,8.991,8.998,9.003,9.005,9.001,8.991,8.979,8.966,8.954,8.945,8.937,8.931,8.926,8.921,8.914,8.905,8.893,8.877,8.86,8.842,8.824,8.807,8.792,8.778,8.765,8.754,8.745,8.737,8.73,8.725,8.72,8.716,8.712,8.709,8.706,8.703,8.701,8.698,8.696,8.694,8.692,8.691,8.69,8.689,8.689,8.689,8.689,8.69,8.69,8.691,8.692,8.693,8.694,8.695,8.695,8.696,8.696,8.696,8.695,8.695,8.694,8.693,8.691,8.69,8.688,8.686,8.684,8.681,8.679,8.676,8.674,8.671,8.669,8.666,8.664,8.662,8.659,8.657,8.655,8.653,8.651,8.649,8.647,8.645,8.644,8.642
