DATA,  1 m,  2 m,  3 m,  4 m,  5 m,  6 m,  7 m,  8 m,  9 m, 10 m, 11 m, 12 m, 13 m, 14 m, 15 m, 16 m, 17 m, 18 m, 19 m, 20 m, 21 m, 22 m, 23 m, 24 m, 25 m, 26 m, 27 m, 28 m, 29 m, 30 m, 31 m, 32 m, 33 m, 34 m, 35 m, 36 m, 37 m, 38 m, 39 m, 40 m, 41 m, 42 m, 43 m, 44 m, 45 m, 46 m, 47 m, 48 m, 49 m, 50 m, 51 m, 52 m, 53 m, 54 m, 55 m, 56 m, 57 m, 58 m, 59 m, 60 m, 61 m, 62 m, 63 m, 64 m, 65 m, 66 m, 67 m, 68 m, 69 m, 70 m, 71 m, 72 m, 73 m, 74 m, 75 m, 76 m, 77 m, 78 m, 79 m, 80 m, 81 m, 82 m, 83 m, 84 m, 85 m, 86 m, 87 m, 88 m, 89 m, 90 m, 91 m, 92 m, 93 m, 94 m, 95 m, 96 m, 97 m, 98 m, 99 m,100 m,101 m,102 m,103 m,104 m,105 m,106 m,107 m,108 m,109 m,110 m,111 m,112 m,113 m,114 m,115 m,116 m,117 m,118 m,119 m,120 m
197201,3.160,3.255,3.356,3.456,3.550,3.637,3.716,3.791,3.864,3.937,4.012,4.090,4.171,4.253,4.336,4.413,4.482,4.539,4.588,4.630,4.670,4.709,4.747,4.784,4.820,4.856,4.893,4.932,4.974,5.018,5.063,5.106,5.145,5.180,5.215,5.251,5.289,5.326,5.361,5.392,5.418,5.439,5.457,5.473,5.488,5.503,5.517,5.531,5.544,5.558,5.572,5.585,5.599,5.614,5.628,5.643,5.657,5.671,5.685,5.699,5.713,5.726,5.738,5.750,5.762,5.774,5.785,5.796,5.807,5.817,5.828,5.837,5.847,5.856,5.865,5.873,5.882,5.889,5.897,5.904,5.911,5.918,5.924,5.930,5.936,5.941,5.947,5.952,5.957,5.962,5.967,5.972,5.976,5.980,5.985,5.989,5.993,5.997,6.001,6.005,6.009,6.012,6.016,6.020,6.023,6.027,6.030,6.034,6.037,6.041,6.044,6.048,6.051,6.055,6.058,6.062,6.066,6.069,6.073,6.077
197202,3.171,3.291,3.407,3.518,3.620,3.714,3.802,3.887,3.970,4.049,4.123,4.187,4.242,4.291,4.336,4.377,4.415,4.453,4.494,4.539,4.588,4.638,4.686,4.732,4.776,4.820,4.863,4.906,4.948,4.989,5.026,5.061,5.093,5.126,5.161,5.195,5.230,5.262,5.290,5.315,5.338,5.358,5.378,5.398,5.418,5.436,5.454,5.471,5.487,5.502,5.517,5.531,5.545,5.559,5.572,5.586,5.599,5.611,5.624,5.636,5.647,5.659,5.670,5.681,5.692,5.703,5.714,5.725,5.736,5.746,5.757,5.767,5.776,5.786,5.795,5.804,5.813,5.821,5.829,5.837,5.845,5.852,5.859,5.866,5.873,5.879,5.885,5.891,5.897,5.903,5.908,5.913,5.919,5.924,5.929,5.933,5.938,5.942,5.947,5.951,5.955,5.959,5.963,5.967,5.971,5.974,5.978,5.981,5.984,5.987,5.990,5.993,5.995,5.998,6.000,6.002,6.004,6.006,6.007,6.009
197203,3.488,3.685,3.874,4.047,4.200,4.332,4.448,4.552,4.647,4.733,4.810,4.881,4.949,5.018,5.086,5.151,5.210,5.265,5.316,5.365,5.408,5.444,5.472,5.493,5.511,5.528,5.546,5.566,5.587,5.610,5.635,5.661,5.687,5.712,5.735,5.756,5.775,5.793,5.808,5.821,5.832,5.841,5.848,5.856,5.863,5.871,5.879,5.887,5.896,5.904,5.913,5.921,5.929,5.936,5.943,5.950,5.956,5.962,5.967,5.973,5.978,5.983,5.989,5.994,5.999,6.005,6.010,6.015,6.019,6.023,6.027,6.031,6.035,6.038,6.041,6.044,6.046,6.049,6.051,6.053,6.054,6.056,6.057,6.058,6.059,6.060,6.061,6.061,6.062,6.062,6.062,6.062,6.062,6.062,6.062,6.062,6.061,6.061,6.061,6.060,6.060,6.059,6.058,6.058,6.057,6.056,6.056,6.055,6.054,6.053,6.052,6.051,6.050,6.049,6.048,6.047,6.046,6.044,6.043,6.042
197204,3.378,3.482,3.599,3.718,3.834,3.944,4.046,4.141,4.228,4.306,4.375,4.435,4.487,4.533,4.576,4.620,4.668,4.722,4.782,4.843,4.902,4.957,5.006,5.052,5.096,5.140,5.182,5.223,5.262,5.299,5.334,5.368,5.400,5.432,5.461,5.488,5.513,5.535,5.555,5.572,5.587,5.600,5.612,5.623,5.634,5.644,5.653,5.662,5.670,5.678,5.686,5.693,5.700,5.707,5.714,5.722,5.730,5.738,5.747,5.755,5.764,5.773,5.782,5.791,5.800,5.809,5.818,5.828,5.837,5.847,5.857,5.866,5.876,5.886,5.895,5.904,5.913,5.922,5.931,5.939,5.947,5.955,5.962,5.969,5.976,5.983,5.990,5.996,6.002,6.009,6.015,6.020,6.026,6.032,6.037,6.043,6.048,6.053,6.058,6.063,6.068,6.073,6.078,6.083,6.087,6.092,6.096,6.100,6.105,6.109,6.113,6.117,6.121,6.125,6.128,6.132,6.135,6.138,6.142,6.145
197205,3.588,3.684,3.788,3.893,3.993,4.086,4.173,4.252,4.324,4.389,4.446,4.496,4.540,4.579,4.617,4.656,4.695,4.734,4.772,4.807,4.841,4.872,4.905,4.940,4.978,5.018,5.060,5.102,5.143,5.181,5.217,5.251,5.283,5.313,5.340,5.365,5.389,5.410,5.428,5.444,5.459,5.472,5.486,5.499,5.512,5.526,5.540,5.553,5.567,5.581,5.595,5.609,5.624,5.639,5.653,5.668,5.682,5.695,5.707,5.718,5.728,5.737,5.746,5.755,5.764,5.772,5.780,5.789,5.797,5.805,5.813,5.821,5.829,5.837,5.845,5.852,5.860,5.867,5.874,5.881,5.888,5.895,5.902,5.909,5.915,5.922,5.929,5.935,5.941,5.948,5.954,5.960,5.966,5.972,5.978,5.984,5.990,5.996,6.002,6.008,6.013,6.019,6.024,6.030,6.035,6.040,6.045,6.050,6.055,6.060,6.065,6.069,6.074,6.078,6.082,6.086,6.090,6.094,6.098,6.101
197206,3.732,3.903,4.076,4.243,4.399,4.539,4.664,4.771,4.861,4.935,4.994,5.041,5.081,5.119,5.159,5.202,5.245,5.286,5.321,5.349,5.371,5.389,5.406,5.424,5.443,5.464,5.486,5.509,5.533,5.557,5.582,5.605,5.627,5.648,5.666,5.683,5.698,5.710,5.721,5.731,5.740,5.750,5.760,5.770,5.781,5.792,5.803,5.814,5.825,5.835,5.845,5.855,5.866,5.876,5.885,5.895,5.903,5.910,5.917,5.922,5.928,5.932,5.937,5.942,5.946,5.950,5.955,5.959,5.963,5.967,5.971,5.974,5.978,5.981,5.984,5.987,5.990,5.993,5.995,5.997,6.000,6.002,6.003,6.005,6.007,6.008,6.009,6.010,6.011,6.012,6.013,6.014,6.015,6.015,6.016,6.016,6.016,6.017,6.017,6.017,6.017,6.016,6.016,6.016,6.015,6.015,6.014,6.014,6.013,6.012,6.011,6.010,6.009,6.007,6.006,6.005,6.003,6.001,6.000,5.998
197207,3.650,3.738,3.843,3.960,4.080,4.200,4.313,4.418,4.511,4.593,4.661,4.717,4.763,4.805,4.847,4.891,4.938,4.984,5.027,5.066,5.103,5.138,5.172,5.205,5.238,5.271,5.305,5.342,5.380,5.420,5.460,5.499,5.538,5.576,5.612,5.643,5.669,5.690,5.707,5.722,5.736,5.749,5.762,5.775,5.787,5.798,5.809,5.819,5.829,5.838,5.847,5.856,5.865,5.873,5.881,5.888,5.895,5.901,5.906,5.912,5.917,5.923,5.928,5.933,5.938,5.944,5.949,5.954,5.960,5.965,5.971,5.976,5.981,5.987,5.992,5.997,6.002,6.007,6.012,6.017,6.022,6.027,6.032,6.036,6.041,6.046,6.050,6.055,6.059,6.063,6.068,6.072,6.076,6.080,6.084,6.088,6.092,6.096,6.100,6.103,6.107,6.111,6.114,6.118,6.121,6.124,6.127,6.131,6.134,6.136,6.139,6.142,6.145,6.147,6.149,6.152,6.154,6.156,6.158,6.160
197208,4.313,4.414,4.525,4.639,4.752,4.859,4.956,5.040,5.112,5.172,5.221,5.262,5.301,5.342,5.385,5.426,5.463,5.494,5.519,5.539,5.556,5.572,5.588,5.605,5.623,5.644,5.668,5.693,5.721,5.748,5.774,5.800,5.825,5.849,5.871,5.892,5.912,5.930,5.946,5.961,5.975,5.988,5.999,6.010,6.020,6.030,6.039,6.048,6.057,6.067,6.076,6.085,6.094,6.101,6.108,6.113,6.118,6.122,6.126,6.129,6.133,6.138,6.142,6.146,6.151,6.156,6.161,6.167,6.172,6.177,6.183,6.189,6.194,6.200,6.205,6.210,6.216,6.221,6.225,6.230,6.235,6.239,6.243,6.246,6.250,6.253,6.256,6.259,6.261,6.264,6.266,6.268,6.269,6.271,6.272,6.274,6.275,6.276,6.277,6.279,6.280,6.281,6.282,6.284,6.285,6.287,6.289,6.291,6.293,6.295,6.297,6.300,6.303,6.306,6.309,6.312,6.316,6.320,6.323,6.327
197209,4.502,4.631,4.765,4.896,5.016,5.121,5.210,5.285,5.348,5.402,5.448,5.488,5.525,5.563,5.600,5.635,5.666,5.692,5.713,5.729,5.742,5.752,5.758,5.764,5.769,5.776,5.785,5.796,5.810,5.825,5.841,5.858,5.876,5.893,5.909,5.924,5.937,5.948,5.959,5.969,5.978,5.986,5.994,6.000,6.007,6.013,6.019,6.024,6.029,6.034,6.039,6.044,6.049,6.054,6.059,6.064,6.069,6.075,6.081,6.087,6.093,6.099,6.106,6.112,6.119,6.126,6.132,6.139,6.146,6.153,6.160,6.167,6.174,6.181,6.188,6.195,6.202,6.209,6.216,6.223,6.230,6.237,6.244,6.251,6.258,6.265,6.271,6.278,6.284,6.291,6.298,6.304,6.310,6.317,6.323,6.329,6.336,6.342,6.348,6.354,6.360,6.366,6.372,6.377,6.383,6.389,6.395,6.400,6.406,6.411,6.416,6.422,6.427,6.432,6.437,6.442,6.446,6.451,6.455,6.460
197210,4.545,4.661,4.777,4.887,4.985,5.067,5.133,5.188,5.235,5.277,5.317,5.358,5.400,5.445,5.490,5.535,5.576,5.613,5.645,5.671,5.693,5.710,5.723,5.735,5.746,5.757,5.769,5.782,5.796,5.811,5.827,5.845,5.865,5.886,5.908,5.929,5.949,5.967,5.983,5.997,6.009,6.019,6.028,6.036,6.043,6.049,6.055,6.061,6.066,6.071,6.076,6.080,6.084,6.087,6.090,6.093,6.097,6.100,6.103,6.106,6.110,6.113,6.117,6.121,6.125,6.129,6.133,6.137,6.142,6.146,6.151,6.155,6.160,6.164,6.169,6.173,6.178,6.182,6.186,6.191,6.195,6.199,6.203,6.207,6.211,6.214,6.218,6.222,6.225,6.229,6.232,6.236,6.239,6.242,6.246,6.249,6.252,6.256,6.259,6.262,6.266,6.269,6.272,6.276,6.279,6.282,6.286,6.289,6.293,6.296,6.300,6.303,6.307,6.310,6.313,6.317,6.320,6.324,6.327,6.330
